sending,sending_citizen_unspecified,sending_citizenship_unknown,sending_household_not_owned,sending_household_owned,sending_household_owned_unknown,sending_indigeneity,sending_internet,sending_internet_unknown,sending_marriage_unknown,sending_married,sending_no_indigeneity,sending_no_internet,sending_not_citizen,sending_rural,sending_salary_worker,sending_self_employed,sending_separated,sending_single,sending_sum_income,sending_total_pop,sending_unknown_employment_status,sending_unknown_indigeneity,sending_unpaid_worker,sending_urban,sending_weighted_avg_income,sending_weighted_avg_income_abroad,sending_weighted_avg_no_income_abroad,sending_weighted_avg_unknown_income_abroad,sending_widowed,US_MIG_05_10
20317,1951.183239,1931.034483,2219.849289,1870.355956,875.4042553,1959.404567,3469.308977,1738.525424,489.8095238,3202.596424,1957.998798,1603.447339,6002.897959,1317.872213,5268.778273,4921.538803,3153.84878,839.7873603,15662650,47220,2825.981818,2342.631218,0,2114.848019,1967.976281,1925.806131,1969.653302,2212,1150.813351,281
20318,269.6673077,-1,471.4333333,246.1838565,153.0714286,282.7157258,-1,183.7142857,-1,461.56621,-1,270.8401559,-1,269.6673077,3113.411765,2148.1875,311.7272727,95.01568627,140227,1040,-1,0,0,-1,269.6673077,-1,266.662768,857.25,358.9375,36
20319,374.3425076,-1,541.6875,345.5519713,-1,384.7687296,1670.384615,-1,-1,547.2657343,238.1111111,320.6847134,-1,374.3425076,3669.666667,977.1724138,1813.230769,123.6595745,122410,654,6000,-1,0,-1,374.3425076,1044.136364,326.0295082,-1,104.7666667,72
20320,184.5042254,-1,183.0909091,184.7633333,-1,211.8478261,-1,-1,-1,318.8881579,88.97468354,184.5042254,-1,184.5042254,2677.235294,1537.384615,0,100.1647059,65499,710,-1,-1,0,-1,184.5042254,266.2857143,178.0460123,-1,0,82
20321,217.4810811,-1,178.0357143,229.0664336,-1,221.0659341,1530.571429,166.6666667,-1,359.1753247,-1,192.0502793,-1,216.8948787,1455.454545,746.7272727,271.3333333,100.4216867,80468,742,-1,-1,0,-1,216.8948787,-1,219.2588556,0,151.075,0
20322,222.6391129,-1,1005.882353,202.0816116,904.7777778,224.449187,0,612.2142857,-1,357.0680628,-1,219.3047521,-1,222.1911469,4198.923077,574.1573034,257.15,142.7229602,220858,1988,600,0,0,-1,222.1911469,447.2173913,207.5223725,1114.3,66.12903226,26
20323,1232.970341,524.6608187,1282.444539,1216.170538,1060.518018,1156.275386,2391.317181,1481.823529,1337.18,2064.739042,1266.370868,1100.155041,0,920.3624097,4405.082656,3533.871527,2279.231449,487.8406656,7759949,48168,1670.80597,848.6641221,0,1791.197467,1225.791065,893.8590328,1260.821936,729.7297297,826.672956,443
20324,371.1617891,-1,551.3959276,348.8381968,1037.578947,363.12997,360,1285.714286,600,556.4188633,850.3174603,367.7489834,-1,164.2076613,3198.287425,1368.851351,630.3116883,205.6227654,2016522,10898,1000,495.2407407,0,487.9463203,370.0719398,242.4463277,373.954398,442.3870968,254.5,454
20325,132.8810555,-1,321.8781726,117.3843188,0,133.3560335,117.6470588,-1,-1,227.8517787,89.59090909,132.7731591,-1,132.6720409,2934.707865,778.6904762,338.7619048,64.30021598,337385,5086,2157.2,55.7,0,-1,132.6720409,299.4912281,121.1247418,1250,32.90909091,757
20326,1108.37521,765.2142857,1230.212205,1076.101382,1623.225,1361.594904,2424.106557,2571.625,-1,1710.35956,1017.728469,1017.621102,857,858.1919248,3684.569899,2806.878681,1626.674365,472.5878494,4119848,15568,1347.6,1230.08125,0,1322.93858,1107.043936,1064.953704,1108.102431,1134.463415,663.375,32
20327,324.1071429,-1,382.2962963,322.154827,153.0714286,-1,-1,-1,0,536.068,324.1071429,324.1071429,-1,323.5818476,2279.714286,1021.421053,584.5454545,167.4094955,199650,1234,1805.8,-1,0,-1,323.5818476,145.0769231,331.757265,194,214.3076923,96
20328,110.7877759,-1,168.2988506,99.23921569,0,125.9895178,-1,-1,-1,176.4166667,48.6509434,108.7566667,-1,108.7566667,2357.117647,1134.954545,250,52.5257732,65254,1200,107,0,0,-1,108.7566667,-1,111.5452991,0,55.82222222,122
